word,form,sentence,paraphrase
эстимейт,эстимейт,Его эстимейт — а это одна из самых значимых работ Святослава Рериха — 900 тыс.,Его приблизительная оценка стоимости — а это одна из самых значимых работ Святослава Рериха — 900 тыс.
эстимейт,эстимейт,"А кроме того, картина ""Всадник-смерть"" 1911 года — эстимейт этой работы также составляет 300 — 500 тыс.","А кроме того, картина «Всадник-смерть» 1911 года — приблизительная оценка стоимости этой работы также составляет 300 — 500 тыс."
эстимейт,эстимейт,"Ориентировочная стоимость (эстимейт) скрипки, выставленной на ""Кристи"", составила 650-850 тысяч фунтов.","Ориентировочная стоимость (приблизительная оценка стоимости) скрипки, выставленной на «Кристи», составила 650-850 тысяч фунтов."
эстимейта,эстимейт,Но ушла она намного ниже эстимейта всего за 608 750 фунтов.,"Но ушла она намного ниже приблизительной оценки стоимости, всего за 608 750 фунтов."
пати,пати,В таких случаях девушка закатывала прощальную пати с изысканными кондитерскими изделиями и хорошими напитками.,В таких случаях девушка закатывала прощальную вечеринку с изысканными кондитерскими изделиями и хорошими напитками.
пати,пати,"Одна особо распахнутая дамочка, с которой перспективный сотрудник столкнулся на устроенном фирмой пати и которую он затем полгода знакомил с дорогущей французской кухней, наконец-то зацепила его.","Одна особо распахнутая дамочка, с которой перспективный сотрудник столкнулся на устроенной фирмой вечеринке и которую он затем полгода знакомил с дорогущей французской кухней, наконец-то зацепила его."
пати,пати,"Я не пойду на пати, где эта красопеточка твоя трётся.","Я не пойду на вечеринку, где эта красопеточка твоя трётся."
пати,пати,"Тем более к середине битвы за осколок, если чуть-чуть повезёт, у меня герой-воин уже отлично танкует в одиночку, и редко где ему нужна пати в помощь.","Тем более к середине битвы за осколок, если чуть-чуть повезёт, у меня герой-воин уже отлично танкует в одиночку, и редко где ему нужна компания в помощь."
пати,пре-пати,Да жалкооо надо бы им все таки замутить там по четвергам пре-пати перед выходными.,Да жалкооо надо бы им все таки замутить там по четвергам предварительную вечеринку перед выходными.
киднеппинг,киднеппингу,"Прибегали к киднеппингу: похищали ""буржуя"" и требовали контрибуцию.",Прибегали к похищению с целью выкупа: похищали «буржуя» и требовали контрибуцию.
киднеппинг,киднеппинга,"До киднеппинга или торговли наркотиками дело не доходило, но мелкие экспроприации казенных денег были в порядке вещей и ради обеспечения нелегальной деятельности (издание газет, проведение партийных съездов и конференций, накладные расходы), и чтобы ""проверить"" боеспособность той или иной ""пятерки"" перед настоящими событиями.","До похищения людей или торговли наркотиками дело не доходило, но мелкие экспроприации казенных денег были в порядке вещей и ради обеспечения нелегальной деятельности (издание газет, проведение партийных съездов и конференций, накладные расходы), и чтобы «проверить» боеспособность той или иной «пятерки» перед настоящими событиями."
киднеппинг,киднеппинга,"Инспиратором киднеппинга в романе выступает Злая Колдунья Люсифа, сказочница-гипнотизерша, пользующаяся приторными духами и завораживающая публику бормотанием вроде: ""Выгляжу я, честно говоря, так себе.","Инспиратором похищения детей в романе выступает Злая Колдунья Люсифа, сказочница-гипнотизерша, пользующаяся приторными духами и завораживающая публику бормотанием вроде: «Выгляжу я, честно говоря, так себе."
киднеппинг,Киднеппинг,"Киднеппинг рискует получить серьезное распространение в России в ближайшие годы, предупреждают эксперты: количество охранных предприятий в стране растет в геометрической прогрессии, а похищения близких и родственников предпринимателей случаются все чаще.","Похищение людей с целью выкупа рискует получить серьезное распространение в России в ближайшие годы, предупреждают эксперты: количество охранных предприятий в стране растет в геометрической прогрессии, а похищения близких и родственников предпринимателей случаются все чаще."
киднеппинг,киднеппинга,"Как сообщал ранее в беседе с РБК daily адвокат Игорь Трунов, по уровню киднеппинга Россия ""недалеко ушла от Бразилии"".","Как сообщал ранее в беседе с РБК daily адвокат Игорь Трунов, по количеству похищений людей Россия «недалеко ушла от Бразилии»."
киднеппинг,киднеппинг,"Психиатр-криминалист, руководитель Центра правовой и психологической помощи Михаил Виноградов говорит, что сильное распространение киднеппинг получил в Сибири.","Психиатр-криминалист, руководитель Центра правовой и психологической помощи Михаил Виноградов говорит, что сильное распространение похищений с целью выкупа получило в Сибири."
лузер,лузеров,"Но в памяти сохранились ошарашенно-завистливые глаза коллег, этой сибирской ссыли, половозрелых лузеров в стоптанных кедах, чье место у параши жизни, когда он предъявил авиабилет в Нью-Йорк с пересадкой на Чикаго.","Но в памяти сохранились ошарашенно-завистливые глаза коллег, этой сибирской ссыли, половозрелых неудачников в стоптанных кедах, чье место у параши жизни, когда он предъявил авиабилет в Нью-Йорк с пересадкой на Чикаго."
лузер,лузер,"Молодой человек, откровенный лузер, редактор газетки ""Голос ЮАО"", он малосимпатичен самому автору (хотя, конечно, Данилов любит и его).","Молодой человек, откровенный неудачник, редактор газетки «Голос ЮАО», он малосимпатичен самому автору (хотя, конечно, Данилов любит и его)."
лузер,лузер,"Но в конце концов и полицейские-краеведы, и лузер из Подольска не просто плод воображения Данилова, а как бы сам Данилов, раскрывающий историю своей любви перед читателем.","Но в конце концов и полицейские-краеведы, и неудачник из Подольска не просто плод воображения Данилова, а как бы сам Данилов, раскрывающий историю своей любви перед читателем."
лузер,лузера,"Лучшая женщина тусовки никогда не свяжется с мужчиной, которого ее тусовка держит за лузера.","Лучшая женщина тусовки никогда не свяжется с мужчиной, которого ее тусовка держит за неудачника."
лузер,лузера,"Решение ядерного кризиса сделало бы из нынешнего ""президента-лузера"" человека, которому удалось устранить один из ключевых конфликтных моментов на Ближнем Востоке.","Решение ядерного кризиса сделало бы из нынешнего «президента-неудачника» человека, которому удалось устранить один из ключевых конфликтных моментов на Ближнем Востоке."
лузер,лузера,Услышал он голос негра у себя за спиной: обидчивый голос лузера.,Услышал он голос негра у себя за спиной: обидчивый голос неудачника.
коворкинг,"коворкинг, плиз","Знатоки, сориентируйте плиз, где на этаже коворкинг?","Знатоки, сориентируйте, пожалуйста, где на этаже пространство для совместной работы?"
плиз,"коворкинг, плиз","Знатоки, сориентируйте плиз, где на этаже коворкинг?","Знатоки, сориентируйте, пожалуйста, где на этаже пространство для совместной работы?"
коворкинг,коворкинга,"Еще десять лет назад никто не мог представить успешную компанию, штатные сотрудники которой работают из дома, коворкинга или кофейни.","Еще десять лет назад никто не мог представить успешную компанию, штатные сотрудники которой работают из дома, совместного рабочего пространства или кофейни."
коворкинг,коворкинга,"Для некоторых людей работа из дома, кафе или коворкинга может оказаться сложным делом из-за неспособности сосредоточиться.","Для некоторых людей работа из дома, кафе или коллективный офис может оказаться сложным делом из-за неспособности сосредоточиться."
коворкинг,"Коворкинги, коливинги","Коворкинги, коливинги, новые форматы публичных библиотек, рестораны с общими столами, сидеть за которыми психологически комфортнее, чем за стандартными ""на двоих"", — жизнь одиночек становится всё более приспособленной под их ""специфические"" нужды.","Коллективные офисы, совместное проживание, новые форматы публичных библиотек, рестораны с общими столами, сидеть за которыми психологически комфортнее, чем за стандартными «на двоих», — жизнь одиночек становится всё более приспособленной под их «специфические» нужды."
коливинг,"Коворкинги, коливинги","Коворкинги, коливинги, новые форматы публичных библиотек, рестораны с общими столами, сидеть за которыми психологически комфортнее, чем за стандартными ""на двоих"", — жизнь одиночек становится всё более приспособленной под их ""специфические"" нужды.","Коллективные офисы, совместное проживание, новые форматы публичных библиотек, рестораны с общими столами, сидеть за которыми психологически комфортнее, чем за стандартными «на двоих», — жизнь одиночек становится всё более приспособленной под их «специфические» нужды."
нетворкинг,нетворкинга,"В основе нетворкинга лежит теория шести рукопожатий, предложенная психологом Стэнли Милгрэмом и социологом Джеффри Трэверсом.","В основе создания и развития сети полезных знакомств лежит теория шести рукопожатий, предложенная психологом Стэнли Милгрэмом и социологом Джеффри Трэверсом."
нетворкинг,нетворкинга,"Таким образом, продавец А при грамотном выстраивании нетворкинга может познакомиться с влиятельным иностранным бизнесменом.","Таким образом, продавец А при грамотном выстраивании сети полезных контактов может познакомиться с влиятельным иностранным бизнесменом."
скейлиться,скейлится,"Данная информация никак не скейлится на наше положение, поэтому ее можно попросту пропустить.","Данная информация никак не соответсвует нашему положению, поэтому ее можно попросту пропустить."
оффер,оффер,Один из кандидатов успешно прошел все этапы подбора и на финальном собеседовании получил оффер.,Один из кандидатов успешно прошел все этапы подбора и на финальном собеседовании получил предложение о трудоустройстве.
оффер,оффер,"А создать хороший оффер – это уже серьезная проблема, причем настолько, что компании выделяют для этого специалиста в штат.","А создать хорошее предложение о трудоустройстве – это уже серьезная проблема, причем настолько, что компании выделяют для этого специалиста в штат."
фандрайзинг,фандрайзинг,"Оборотной стороной проблемы оказывается то, что фандрайзинг становится едва ли не более значимым видом деятельности, чем социальная помощь целевым группам.","Оборотной стороной проблемы оказывается то, что сбор средств становится едва ли не более значимым видом деятельности, чем социальная помощь целевым группам."
фандрайзинг,фандрайзинг,"В США и в Европе благотворительные фонды для сбора средств активно используют виртуальные события: виртуальный сбор средств можно лучше всего описать как фандрайзинговые события/мероприятия, которые происходят в интернете, а не в реальном мире, эксперты все чаще употребляют термин ""виртуальный фандрайзинг"".","В США и в Европе благотворительные фонды для сбора средств активно используют виртуальные события: виртуальный сбор средств можно лучше всего описать события/мероприятия по сбору средств, которые происходят в интернете, а не в реальном мире, эксперты все чаще употребляют термин «виртуальный сбор средств»."
краудфандинг,краудфандинг,"Уже через полгода работы одного цеха нам стало мало, и мы решили провести еще один краудфандинг, в котором собрали миллион рублей на строительство второго цеха.","Уже через полгода работы одного цеха нам стало мало, и мы решили провести еще один коллективный сбор средств, в котором собрали миллион рублей на строительство второго цеха."
краудфандинг,краудфандинг,"Сейчас мы запустили уже пятый краудфандинг, чтобы построить в деревне общественный центр для работы и жизни.","Сейчас мы запустили уже пятый коллективный сбор средств, чтобы построить в деревне общественный центр для работы и жизни."
краудсорсинг,"краудсорсинга, краудфандинга","Особое место в этом ряду заняли явления краудсорсинга и краудфандинга, которые изменили представление ученых о вовлечении людей в процессы финансирования проектов, производства, продвижения, распределения и потребления продукции и услуг на добровольной основе.","Особое место в этом ряду заняли явления привлечения коллективных ресурсов и коллективного сбора средств, которые изменили представление ученых о вовлечении людей в процессы финансирования проектов, производства, продвижения, распределения и потребления продукции и услуг на добровольной основе."
краудфандинг,"краудсорсинга, краудфандинга","Особое место в этом ряду заняли явления краудсорсинга и краудфандинга, которые изменили представление ученых о вовлечении людей в процессы финансирования проектов, производства, продвижения, распределения и потребления продукции и услуг на добровольной основе.","Особое место в этом ряду заняли явления привлечения коллективных ресурсов и коллективного сбора средств, которые изменили представление ученых о вовлечении людей в процессы финансирования проектов, производства, продвижения, распределения и потребления продукции и услуг на добровольной основе."
скроллить,скроллить,"Раньше на клиенте ios при нажатии на кнопку ""развернуть"" можно было спокойно продолжать чтение длинопоста , но в последнем обновлении функция ""скроллить"" не срабатывает.","Раньше на клиенте ios при нажатии на кнопку ""развернуть"" можно было спокойно продолжать чтение длинопоста , но в последнем обновлении функция ""листать"" не срабатывает."
скроллить,"скроллить, спойлеры","Сейчас же при разворачивании меня кидает в конец поста и приходится скроллить в начало поста, улавливая спойлеры.","Сейчас же при разворачивании меня кидает в конец публикации и приходится листать в ее начало, улавливая важные детали сюжета фильма."
спойлер,"скроллить, спойлеры","Сейчас же при разворачивании меня кидает в конец поста и приходится скроллить в начало поста, улавливая спойлеры.","Сейчас же при разворачивании меня кидает в конец публикации и приходится листать в ее начало, улавливая важные детали сюжета фильма."
свайп,свайпы,Я думаю что слишком много приложений и социальных сетей заставляет пользователей делать однотипные свайпы.,Я думаю что слишком много приложений и социальных сетей заставляет пользователей делать однотипные смахи.
свайп,свайп,"Уважаемые разработчики и им сочувствующие, если вы не знали, в андроидах последней версии свайп вправо из левого края экрана это аналог кнопки ""назад"", а не ""давай пролистаем на другое видео"".","Уважаемые разработчики и им сочувствующие, если вы не знали, в андроидах последней версии смахи вправо из левого края экрана это аналог кнопки ""назад"", а не ""давай пролистаем на другое видео""."
бестселлер,"бестселлерами, топы","Книги, написанные Хоукингом, неизменно становились бестселлерами и входили в топы продаж.","Книги, написанные Хоукингом, неизменно становились популярными и входили в лидеры продаж."
топ,"бестселлерами, топы","Книги, написанные Хоукингом, неизменно становились бестселлерами и входили в топы продаж.","Книги, написанные Хоукингом, неизменно становились популярными и входили в лидеры продаж."
бестселлер,"бестселлерах, бестселлером","""Империализм как высшая стадия капитализма"" Ленина в бестселлерах на Озоне, также как ""Капитал"" Маркса был бестселлером на Западе во время кризиса 2008-2009 гг.","""Империализм как высшая стадия капитализма"" Ленина в лидерах продаж на Озоне, также как ""Капитал"" Маркса был хитом продаж на Западе во время кризиса 2008-2009 гг."
бестселлер,"бестселлерах, бестселлером","""Империализм как высшая стадия капитализма"" Ленина в бестселлерах на Озоне, также как ""Капитал"" Маркса был бестселлером на Западе во время кризиса 2008-2009 гг.","""Империализм как высшая стадия капитализма"" Ленина в лидерах продаж на Озоне, также как ""Капитал"" Маркса был хитом продаж на Западе во время кризиса 2008-2009 гг."
истеблишмент,истеблишменту,"А вот западному истеблишменту, вообще всем гражданам натовских стран нужно понять, что Россия выбрала свой путь.","А вот западной политической элите, вообще всем гражданам натовских стран нужно понять, что Россия выбрала свой путь."
истеблишмент,истеблишментом,Перестать удивляться качеству принимаемых западным политическим истеблишментом решений помогают результаты исследований Эмиля Кьеркегора из Ольстера.,Перестать удивляться качеству принимаемых западным политическим элитами решений помогают результаты исследований Эмиля Кьеркегора из Ольстера.
дедлайн,дедлайнов,Управление проектом в любой сфере предполагает наличие дедлайнов.,Управление проектом в любой сфере предполагает наличие крайних сроков выполнения задач.
дедлайн,дедлайн,"Будь то сессия или дедлайн на работе, иногда получается так, что мы не спим ночи напролет.","Будь то сессия или крайний срок выполнения на работе, иногда получается так, что мы не спим ночи напролет."
дедлайн,дедлайны,"Как правило, планы включают в себя и другие дедлайны для этапов поменьше.","Как правило, планы включают в себя и другие крайние сроки выполнения работ для этапов поменьше."
дедлайн,Дедлайн,Дедлайн должен иметь под собой обоснование.,Крайний срок выполнения работ должен иметь под собой обоснование.
дедлайн,дедлайну,"Казалось, что работы просто непочатый край, но, как говорится, глаза боятся, а руки делают, и к дедлайну все было более или менее готово.","Казалось, что работы просто непочатый край, но, как говорится, глаза боятся, а руки делают, и к сроку сдачи все было более или менее готово."
хэппи-энд,Хэппи-энд,"Хэппи-энд там присутствует, я надеюсь?","Счастливый конец там присутствует, я надеюсь?"
хэппи-энд,хэппи-энда,"Уже с первых страниц романа понимаешь, никакого американского хэппи-энда здесь не будет, это Россия, ситуация, в которой оказались герои - безвыходна, нужно смириться и жить дальше.","Уже с первых страниц романа понимаешь, никакого американского счастливого конца здесь не будет, это Россия, ситуация, в которой оказались герои - безвыходна, нужно смириться и жить дальше."
хэппи-энд,хэппи-энд,"долой хэппи-энд, несчастье в финале – свидетельство хорошего вкуса и – неотвратимости: бесконечное беспечное счастье невозможно, в предпоследнем абзаце красивая молодая женщина должна умереть.","Долой счастливый конец, несчастье в финале – свидетельство хорошего вкуса и – неотвратимости: бесконечное беспечное счастье невозможно, в предпоследнем абзаце красивая молодая женщина должна умереть."
аутсорсинг,аутсорсинга,"Происходит переход от аутсорсинга, основанного на конкурсном оказании нерегулярных услуг, к узкой специализации исполнителей по оказанию логистических услуг на постоянной основе.","Происходит переход от привлечения внешних исполнителей, основанного на конкурсном оказании нерегулярных услуг, к узкой специализации исполнителей по оказанию логистических услуг на постоянной основе."
аутсорсинг,аутсорсинге,"Все остальное на аутсорсинге - бухгалтерия, уборка и прочее"".","Все остальное на привлечении внешних исполнителей - бухгалтерия, уборка и прочее""."
аутсорсинг,"аутсорсинга, маркетинговых","Можно сказать, что достоинством стратегии аутсорсинга является видимое снижение себестоимости маркетинговых функций.","Можно сказать, что достоинством стратегии привлечения внешних исполнителей является видимое снижение себестоимости продажных функций."
маркетинговый,"аутсорсинга, маркетинговых","Можно сказать, что достоинством стратегии аутсорсинга является видимое снижение себестоимости маркетинговых функций.","Можно сказать, что достоинством стратегии привлечения внешних исполнителей является видимое снижение себестоимости продажных функций."
прайм-тайм,прайм-тайм,"Реклама в прайм-тайм стоит значительно дороже, чем утром, днём и ночью.","Реклама во время наиболее активного просмотра телевидения стоит значительно дороже, чем утром, днём и ночью."
прайм-тайм,прайм-тайм,"Первый канал, показавший этот фильм в прайм-тайм, является официальным рупором власти.","Первый канал, показавший этот фильм во время наиболее активного просмотра телевидения, является официальным рупором власти."
прайм-тайм,прайм-тайм,"Есть категория пользователей, для которых прайм-тайм в Инстаграме не пустой звук.","Есть категория пользователей, для которых время наиболее активного просмотра в Инстаграме не пустой звук."
вишлист,вишлист,"Есть несколько тонкостей, которые помогут правильно составить вишлист на сайте, ничего не забыть и не упустить.","Есть несколько тонкостей, которые помогут правильно составить лист желаний на сайте, ничего не забыть и не упустить."
вишлист,"вишлисте, гаджетов","В течение последней недели мы методично предлагали разные варианты — от красивого нижнего белья до гаджетов, а в итоговом вишлисте собрали все их воедино.","В течение последней недели мы методично предлагали разные варианты — от красивого нижнего белья до умных устройств, а в итоговом листе желаний собрали все их воедино."
гаджет,"вишлисте, гаджетов","В течение последней недели мы методично предлагали разные варианты — от красивого нижнего белья до гаджетов, а в итоговом вишлисте собрали все их воедино.","В течение последней недели мы методично предлагали разные варианты — от красивого нижнего белья до умных устройств, а в итоговом листе желаний собрали все их воедино."
стартап,стартап,"Nubeva, стартап в области сбора сетевых данных, который использует уникальный облачный подход, но ему не хватает физических и локальных возможностей по сбору сетевых данных.","Nubeva, молодая быстро развивающаяся компания в области сбора сетевых данных, которая использует уникальный облачный подход, но ей не хватает физических и локальных возможностей по сбору сетевых данных."
стартап,стартапов,"Сегодня сотни стартапов заявляют, что построят вам ""интеллектуального бота за полчаса, максимум — за час"".","Сегодня сотни молодых быстро развивающихся компаний заявляют, что построят вам «интеллектуального бота за полчаса, максимум — за час»."
стартап,стартапами,"Производятся они и лидерами цифрового рынка, и малоизвестными стартапами, и разработчиками медицинской техники.","Производятся они и лидерами цифрового рынка, и малоизвестными молодыми быстро развивающимися компаниями, и разработчиками медицинской техники."
стартап,стартап,"Представляется, что исследователям и стартапам, только начинающим знакомиться с ИИ и ищущим возможности его применения в здравоохранении, целесообразно начать именно с методов машинного обучения с учителем.","Представляется, что исследователям и молодым быстро развивающимся компаниям, только начинающим знакомиться с ИИ и ищущим возможности его применения в здравоохранении, целесообразно начать именно с методов машинного обучения с учителем."
стартап,стартап,"Назовите стартап, где с самого начала все было гладко.","Назовите молодую быстро развивающуюся компанию, где с самого начала все было гладко."
фрилансер,фрилансеров,"В отличие от фрилансеров, удаленный сотрудник должен трудиться по плану, который определила для него компания, и соблюдать рабочий график.","В отличие от людей, которые не состоят в штате компании и работают на себя, удаленный сотрудник должен трудиться по плану, который определила для него компания и соблюдать рабочий график."
фрилансер,фрилансеры,Самые успешные фрилансеры редко пользуются услугами бирж фриланса.,"Самые успешные люди, не состоящие в штате компании и работающие на себя редко пользуются услугами бирж фриланса."
фрилансер,фрилансера,"Аркадий Подлевский не был избалован вниманием женщин только по той причине, что неусыпные хлопоты фрилансера, торгующего своим свободным временем, не оставляли ему перерывов для интимных приключений и амурных похождений.","Аркадий Подлевский не был избалован вниманием женщин только по той причине, что неусыпные хлопоты людей, которые не состоят в штате компании и работают на себя, торгующим своим свободным временем, не оставляли ему перерывов для интимных приключений и амурных похождений."
аутсайдер,аутсайдеру,"Хоккеисты сборной могли выиграть любой турнир, а потом провалить следующий, могли обыграть фаворита, но спустя сутки безвольно уступить аутсайдеру, могли дружно атаковать ворота соперника и ""забыть"" о защите своих, другими словами, могли всё.","Хоккеисты сборной могли выиграть любой турнир, а потом провалить следующий, могли обыграть фаворита, но спустя сутки безвольно уступить участнику, занявшему последнее место, могли дружно атаковать ворота соперника и ""забыть"" о защите своих, другими словами, могли всё."
аутсайдер,аутсайдеры,"Вначале, когда мы только начинали, был большой разброс в оценках разных преподавателей, были свои звёзды и свои аутсайдеры.","Вначале, когда мы только начинали, был большой разброс в оценках разных преподавателей, были свои звёзды и свои участники, занявшие последнее место."
аутсайдер,аутсайдерах,"Однако из них на широкий экран Белого зала Дома кино с 10 по 16 марта (дни показов для зрителей) попало ""всего"" фильмов семьдесят, что, естественно, вызвало разочарование авторов, оказавшихся ""в аутсайдерах"".","Однако из них на широкий экран Белого зала Дома кино с 10 по 16 марта (дни показов для зрителей) попало «всего» фильмов семьдесят, что, естественно, вызвало разочарование авторов, оказавшихся в ""отстающих""."
брифинг,брифинга,"Не случайно в начале встречи он как бы невзначай проронил, что три года не общался один на один с журналистами в рамках брифинга, а вот сейчас готов ответить на все вопросы. ","Не случайно в начале встречи он как бы невзначай проронил, что три года не общался один на один с журналистами в рамках встречи официальных лиц с представителями средств массовой информации, а вот сейчас готов ответить на все вопросы. "
